height,length
20.69290287096116,42.32209352220827
38.55001777589674,49.256637778884
27.94816218669392,46.567735877360384
22.172241761220107,41.52490337661028
40.35837694381498,52.28556241182266
24.030198299246802,48.786858433614505
21.787641049185428,39.61220681548138
37.03804004308217,49.42209566970867
25.37367737400728,51.77056596605707
22.033910990715647,41.630481187889394
37.26717029590116,46.74638164889915
25.702256333426874,50.55802886355845
21.86392710684916,39.95904094712115
36.28491366816637,49.20174046038369
26.9727335636785,47.53131932399149
23.169571863615865,38.01718531951576
39.104040001760914,49.355423152490644
24.550708480850588,48.38848134853618
23.760418716181924,40.93479568253306
39.662983936306816,48.86119610965633
27.942891654353325,46.88335016725195
22.64790794950806,43.16566686968012
38.66048516751049,49.18116764151168
28.654130291203373,48.085980298276766
25.575899257533187,42.37154969390693
37.48987534646276,50.723934246255524
26.515630925049486,47.560318141503686
25.617594453986595,44.21113962172396
37.139647961083895,50.43510435832843
28.030753324438926,47.65992150379187
23.24791702965308,43.79573875681801
36.95137617416722,50.49362829491952
26.05083171150938,49.04875551633314
22.39863011348606,38.38789336481207
37.27929311372443,44.57831911502584
26.458003219120247,49.44303114952182
23.51817609204613,41.21951660897629
41.15527056039926,51.19901064633621
28.841327681343014,48.831319349754864
22.01074899553111,39.32586237201811
35.631270422275556,53.00846869635933
26.61535253879782,48.713503049697636
24.49660726852713,35.62731335268534
41.889915455893814,53.96531946797653
24.525439573389267,47.79131286305257
23.53103363884391,43.37537865194295
38.620239254407544,52.443231346484204
25.026314661188447,49.59532875037168
21.253012508846197,39.923884698656764
40.25436604111965,53.39901951431294
28.04565187765694,48.276824325669466
25.11214861914009,42.76765742580679
39.21513276888201,49.235545120592334
24.983386720040016,47.69126327169247
20.750900363357676,42.65396376883536
37.65812621957238,51.490934655112795
26.463788409525076,49.24473273263738
21.83748283363701,40.38011934589186
37.892511299088625,51.205912476172514
26.539490762290395,51.102190702707
23.52687751844529,42.22990024415236
36.90981646977394,50.88872049448362
22.66356377470329,50.33382540779454
21.484287796831065,40.16693470346873
36.486890653165304,50.77531598636179
27.705083905649154,51.48855332540813
22.91956882182331,40.92592664459074
40.84937448919305,49.92827826833404
24.38878192945213,44.20235606033578
25.025051457702826,38.74362035328609
41.439592012631884,47.397473517137215
23.866293864327343,45.50230136176853
20.560517244105807,44.24855388725375
35.831965891628755,51.91371023256042
26.47076003344102,49.43463660386109
21.025482103470154,42.52638538303404
37.935235952454214,50.820273256603514
27.58506245326539,45.82071372438464
21.54631522769805,42.548504632380144
38.7795623336318,48.43906068849015
24.99983665804664,48.93311749987953
22.36365490028821,41.24570827778509
36.229285329259426,53.3395060555533
24.796758431510263,49.67469495275323
23.669800521160894,40.317007218372375
39.261720753318734,48.42447704918363
24.11895854157797,48.6324104091624
23.56422353933358,43.747719597877285
38.553223058681645,49.68948935807081
26.633112219061953,52.77999328541626
24.338821914435844,41.63724642246751
36.641344888116365,53.307149830468425
26.37168392817481,49.685640568595154
22.380330223504775,38.882063292658316
38.551222273512025,51.96160053029289
25.174014543138135,47.93113612488948
23.364541036335126,39.76992836444967
37.38790765421084,46.77757999707252
23.374002529759842,45.784622332348086
22.536085790601557,40.527981761915534
36.78101256801523,49.245638985150926
26.208636695099173,46.76307886667945
19.95531242205752,40.11449383411339
38.391636672542624,53.87410961533565
25.80243305939359,49.252236038498836
21.47960566550329,39.566789546442415
37.787199037976386,50.03317762555109
23.121646922121464,47.876582186837325
23.418507867328913,38.95568855004994
40.0042878637071,46.63162638204103
24.71365265655805,46.24959504613185
22.650574771039803,39.78598981309517
41.07840214482795,51.73713462557075
22.754365097617697,48.07250060209357
25.250737468161617,39.319214956159406
35.95974012556067,51.20847558534205
23.04774258279248,49.383136225413395
22.148807503616094,42.16725801760176
38.287747634932494,49.495928333713834
27.782486400039506,45.570401358339446
26.209495736351876,38.49104570898295
37.54614698721548,51.020372800809255
24.643036573746176,47.72682953237213
22.736858284701082,40.73323311593093
40.64348530667934,50.621271526267236
25.23018584641366,49.73934303311824
21.54573875841255,41.0913460006884
38.000433902812944,49.2899279593058
25.44705411125746,47.126915219120974
23.79349368655732,40.404614174573155
39.39468523008197,49.53693773507424
22.505372496029576,46.84914855281418
22.166555186497124,40.30116905610085
41.29230134005282,51.74456528261062
23.39331111158369,49.48793733727598
20.156367868383033,43.591267005318116
38.144877927914045,49.55998534465848
24.738671027209985,47.92601901939152
19.737082837287694,35.95721497844046
36.4918392404459,50.10721322992851
26.26921098553761,49.901366287455794
22.834385336946493,42.42661907496739
35.55016644107538,50.88984452781451
26.43011350127806,47.159093591631915
21.431214136757596,41.484008365328
34.378375972748884,50.471066749829326
29.37812053345513,51.508884937078044
