height,lenght,class
20.69290287096116,42.32209352220827,0
38.55001777589674,49.256637778884,2
27.94816218669392,46.567735877360384,1
22.172241761220107,41.52490337661028,0
40.35837694381498,52.28556241182266,2
24.030198299246802,48.786858433614505,1
21.787641049185428,39.61220681548138,0
37.03804004308217,49.42209566970867,2
25.37367737400728,51.77056596605707,1
22.033910990715647,41.630481187889394,0
37.26717029590116,46.74638164889915,2
25.702256333426874,50.55802886355845,1
21.86392710684916,39.95904094712115,0
36.28491366816637,49.20174046038369,2
26.9727335636785,47.53131932399149,1
23.169571863615865,38.01718531951576,0
39.104040001760914,49.355423152490644,2
24.550708480850588,48.38848134853618,1
23.760418716181924,40.93479568253306,0
39.662983936306816,48.86119610965633,2
27.942891654353325,46.88335016725195,1
22.64790794950806,43.16566686968012,0
38.66048516751049,49.18116764151168,2
28.654130291203373,48.085980298276766,1
25.575899257533187,42.37154969390693,0
37.48987534646276,50.723934246255524,2
26.515630925049486,47.560318141503686,1
25.617594453986595,44.21113962172396,1
37.139647961083895,50.43510435832843,2
28.030753324438926,47.65992150379187,1
23.24791702965308,43.79573875681801,0
36.95137617416722,50.49362829491952,2
26.05083171150938,49.04875551633314,1
22.39863011348606,38.38789336481207,0
37.27929311372443,44.57831911502584,2
26.458003219120247,49.44303114952182,1
23.51817609204613,41.21951660897629,0
41.15527056039926,51.19901064633621,2
28.841327681343014,48.831319349754864,1
22.01074899553111,39.32586237201811,0
35.631270422275556,53.00846869635933,2
26.61535253879782,48.713503049697636,1
24.49660726852713,35.62731335268534,0
41.889915455893814,53.96531946797653,2
24.525439573389267,47.79131286305257,1
23.53103363884391,43.37537865194295,0
38.620239254407544,52.443231346484204,2
25.026314661188447,49.59532875037168,1
21.253012508846197,39.923884698656764,0
40.25436604111965,53.39901951431294,2
28.04565187765694,48.276824325669466,1
25.11214861914009,42.76765742580679,0
39.21513276888201,49.235545120592334,2
24.983386720040016,47.69126327169247,1
20.750900363357676,42.65396376883536,0
37.65812621957238,51.490934655112795,2
26.463788409525076,49.24473273263738,1
21.83748283363701,40.38011934589186,0
37.892511299088625,51.205912476172514,2
26.539490762290395,51.102190702707,1
23.52687751844529,42.22990024415236,0
